sampleID,site,day,SEASON,LAT,LONG
ARM1AWET,ARM1,A,WET,9.15388266,-79.84914586
ARM1BWET,ARM1,B,WET,9.15388266,-79.84914586
ARM2BWET,ARM2,B,WET,9.15202361,-79.84933596
ARM2AWET,ARM2,A,WET,9.15202361,-79.84933596
ARM3AWET,ARM3,A,WET,9.15107892,-79.85287683
ARM3BWET,ARM3,B,WET,9.15107892,-79.85287683
ARM4AWET,ARM4,A,WET,9.14881152,-79.85525981
ARM4BWET,ARM4,B,WET,9.14881152,-79.85525981
BAL1AWET,BAL1,A,WET,9.15547435,-79.84468881
BAL1BWET,BAL1,B,WET,9.15547435,-79.84468881
DRA1AWET,DRA1,A,WET,9.14932760,-79.84650703
DRA1BWET,DRA1,B,WET,9.14932760,-79.84650703
WHE1AWET,WHE1,A,WET,9.15321379,-79.84777535
WHE1BWET,WHE1,B,WET,9.15321379,-79.84777535
WHE2AWET,WHE2,A,WET,9.15081347,-79.84621367
WHE2BWET,WHE2,B,WET,9.15081347,-79.84621367
ZET1AWET,ZET1,A,WET,9.15294281,-79.85258733
ZET1BWET,ZET1,B,WET,9.15294281,-79.85258733
ZET2AWET,ZET2,A,WET,9.15204396,-79.85656410
ZET2BWET,ZET2,B,WET,9.15204396,-79.85656410
ARM1ADRY,ARM1,A,DRY,9.15388266,-79.84914586
ARM1BDRY,ARM1,B,DRY,9.15388266,-79.84914586
ARM2ADRY,ARM2,A,DRY,9.15202361,-79.84933596
ARM2BDRY,ARM2,B,DRY,9.15202361,-79.84933596
ARM3BDRY,ARM3,B,DRY,9.15107892,-79.85287683
ARM3ADRY,ARM3,A,DRY,9.15107892,-79.85287683
ARM4ADRY,ARM4,A,DRY,9.14881152,-79.85525981
ARM4BDRY,ARM4,B,DRY,9.14881152,-79.85525981
BAL1BDRY,BAL1,B,DRY,9.15547435,-79.84468881
BAL1ADRY,BAL1,A,DRY,9.15547435,-79.84468881
DRA1BDRY,DRA1,B,DRY,9.14932760,-79.84650703
DRA1ADRY,DRA1,A,DRY,9.14932760,-79.84650703
WHE1BDRY,WHE1,B,DRY,9.15321379,-79.84777535
WHE1ADRY,WHE1,A,DRY,9.15321379,-79.84777535
WHE2BDRY,WHE2,B,DRY,9.15081347,-79.84621367
WHE2ADRY,WHE2,A,DRY,9.15081347,-79.84621367
ZET1ADRY,ZET1,A,DRY,9.15294281,-79.85258733
ZET1BDRY,ZET1,B,DRY,9.15294281,-79.85258733
ZET2ADRY,ZET2,A,DRY,9.15204396,-79.85656410
ZET2BDRY,ZET2,B,DRY,9.15204396,-79.85656410
