sampleID,site,day,SEASON
total39883,ARM4,b,wet
total39882,ARM3,b,wet
total39881,ARM2,b,wet
total39880,ZET2,b,wet
total39879,ZET1,b,wet
total39878,WHE2,b,wet
total39877,WHE1,b,wet
total39876,DRA1,b,wet
total39875,BAL1,b,wet
total39874,ARM1,b,wet
total39873,ARM4,a,wet
total39872,ARM3,a,wet
total39871,ARM2,a,wet
total39870,ZET2,a,wet
total39869,ZET1,a,wet
total39868,WHE2,a,wet
total39867,WHE1,a,wet
total39866,DRA1,a,wet
total39865,BAL1,a,wet
total39864,ARM1,a,wet
ARM1A,ARM1,a,dry
ARM1B,ARM1,b,dry
ARM2A,ARM2,a,dry
ARM2B,ARM2,b,dry
ARM3A,ARM3,a,dry
ARM3B,ARM3,b,dry
ARM4A,ARM4,a,dry
ARM4B,ARM4,b,dry
BAL1A,BAL1,a,dry
BAL1B,BAL1,b,dry
DRA1A,DRA1,a,dry
DRA1B,DRA1,b,dry
WHE1A,WHE1,a,dry
WHE1B,WHE1,b,dry
WHE2A,WHE2,a,dry
WHE2B,WHE2,b,dry
ZET1A,ZET1,a,dry
ZET1B,ZET1,b,dry
ZET2A,ZET2,a,dry
ZET2B,ZET2,b,dry
